SELIC,USD_VALOR,ACEITO/OFERTADO,DURACAO,TAXA_ULTIMO_LEILAO,REJEICAO_MERCADO,TAXA
0.045513,2.5809,0.30375,1569,5.8897,0,5.84
0.045513,2.5809,0.1156666666666666,7413,6.03,1,5.8999
0.045513,2.5809,0.3768333333333333,14718,6.04,0,5.93
0.045513,2.5809,0.4595,3030,5.93,0,5.85
0.045513,2.8075,0.2593333333333333,7399,5.8999,0,6.34
0.045513,2.8075,0.7406666666666667,14704,5.93,0,6.39
0.045513,2.8075,0.39335,3016,5.85,0,6.2
0.045513,2.8075,0.2149,1555,5.84,0,6.02
0.045513,2.8649,0.2673,14690,6.39,0,6.33
0.045513,2.8649,0.0736,1541,6.02,1,6.22
0.045513,2.8649,0.9264,3002,6.2,0,6.29
0.045513,2.8649,0.3281,7385,6.34,0,6.31
0.047279,3.1299,0.18605,1527,6.22,0,6.389
0.047279,3.1299,0.2655,7371,6.31,0,6.5
0.047279,3.1299,0.319,14676,6.33,0,6.5
0.047279,3.1299,0.7318,2988,6.29,0,6.48
0.047279,3.131,0.81296,2974,6.48,0,6.36
0.047279,3.131,0.18704,1513,6.389,0,6.268
0.047279,3.131,0.4303333333333333,14662,6.5,0,6.48
0.047279,3.131,0.1526666666666666,7357,6.5,0,6.43
0.047279,3.1231,0.19,7343,6.43,0,6.29
0.047279,3.1231,0.5160666666666667,2960,6.36,0,6.33
0.047279,3.1231,0.3843,14648,6.48,0,6.29
0.047279,3.1231,0.4839333333333333,1499,6.268,0,6.3499
0.047279,3.0186,0.2284,14633,6.29,0,6.12
0.047279,3.0186,0.4956,2945,6.33,0,6.33
0.047279,3.0186,0.5044,1484,6.3499,0,6.63
0.047279,3.0186,0.0986,7328,6.29,1,6.15
0.049037,3.0626,0.3196666666666666,14620,6.12,0,6.13
0.049037,3.0626,0.60335,1471,6.63,0,6.69
0.049037,3.0626,0.2261666666666666,7315,6.15,0,6.17
0.049037,3.0626,0.39665,2932,6.33,0,6.41
0.049037,3.0284,0.2917,14606,6.13,0,5.97
0.049037,3.0284,0.35696,2918,6.41,0,6.38
0.049037,3.0284,0.0834,7301,6.17,1,6.0
0.049037,3.0284,0.58224,1457,6.69,0,6.61
0.049037,3.1443,0.30305,2904,6.38,0,6.28
0.049037,3.1443,0.569575,1443,6.61,0,6.54
0.049037,3.1443,0.028,7287,6.0,1,5.99
0.049037,3.1443,0.199,14592,5.97,0,5.98
0.050788,3.1082,0.35765,2890,6.28,0,6.39
0.050788,3.1082,0.4201666666666667,7273,5.99,0,6.05
0.050788,3.1082,0.64235,1429,6.54,0,6.6999
0.050788,3.1082,0.17,14578,5.98,0,5.91
0.050788,3.1026,0.1046666666666666,7259,6.05,1,6.16
0.050788,3.1026,0.4452,1415,6.6999,0,6.71
0.050788,3.1026,0.2888,2876,6.39,0,6.46
0.050788,3.1026,0.4421666666666666,14564,5.91,0,6.09
0.050788,3.123,0.1120666666666666,2862,6.46,1,6.459
0.050788,3.123,0.1551666666666666,7245,6.16,0,6.32
0.050788,3.123,0.3195,14550,6.09,0,6.23
0.050788,3.123,0.8879333333333334,1401,6.71,0,6.58
0.050788,3.3815,0.441,14536,6.23,0,6.48
0.050788,3.3815,0.3433333333333333,2848,6.459,0,6.75
0.050788,3.3815,0.559,7231,6.32,0,6.619
0.050788,3.3815,0.6566666666666666,1387,6.58,0,6.88
0.052531,3.4925,0.4031333333333333,1373,6.88,0,7.13
0.052531,3.4925,0.89,14522,6.48,0,6.83
0.052531,3.4925,0.11,7217,6.619,1,6.94
0.052531,3.4925,0.5303333333333333,2834,6.75,0,7.18
